Time Volt
1019.881974235614 0.03118244
1019.981974233087 0.038372394
1020.081974230561 0.043290626
1020.181974228035 0.047322564
1020.281974225509 0.051054925
1020.381974222983 0.054595917
1020.481974220456 0.057986926
1020.58197421793 0.061276034
1020.681974215404 0.064459577
1020.781974212878 0.06756895
1020.881974210351 0.070609167
1020.981974207825 0.073597476
1021.081974205299 0.076530449
1021.181974202773 0.079419538
1021.281974200247 0.082267128
1021.38197419772 0.085076116
1021.481974195194 0.087856613
1021.581974192668 0.090601414
1021.681974190142 0.093319461
1021.781974187616 0.096011035
1021.881974185089 0.098680176
1021.981974182563 0.1013336
1022.081974180037 0.10396061
1022.181974177511 0.1065663
1022.281974174985 0.10914321
1022.381974172458 0.11171877
1022.481974169932 0.11426099
1022.581974167406 0.11679975
1022.68197416488 0.11932473
1022.781974162353 0.12183096
1022.881974159827 0.12432367
1022.981974157301 0.12680502
1023.081974154775 0.12927508
1023.181974152249 0.1317323
1023.281974149722 0.13418348
1023.381974147196 0.1366235
1023.48197414467 0.13905236
1023.581974142144 0.14146951
1023.681974139618 0.14387369
1023.781974137091 0.146265
1023.881974134565 0.14865404
1023.981974132039 0.15103084
1024.081974129513 0.1534005
1024.181974126986 0.15575989
1024.28197412446 0.15811649
1024.381974121934 0.16045924
1024.481974119408 0.16279632
1024.581974116882 0.16512676
1024.681974114355 0.16744533
1024.781974111829 0.16976553
1024.881974109303 0.17206776
1024.981974106777 0.17437212
1025.081974104251 0.17666627
1025.181974101724 0.178957
1025.281974099198 0.18123114
1025.381974096672 0.18351081
1025.481974094146 0.18577619
1025.581974091619 0.18803772
1025.681974089093 0.1902957
1025.781974086567 0.19254173
1025.881974084041 0.19478559
1025.981974081515 0.19702792
1026.081974078988 0.19926372
1026.181974076462 0.20148106
1026.281974073936 0.2036991
1026.38197407141 0.20591262
1026.481974068884 0.20812485
1026.581974066357 0.21032733
1026.681974063831 0.21251798
1026.781974061305 0.21471393
1026.881974058779 0.21690449
1026.981974056253 0.21908595
1027.081974053726 0.22125922
1027.1819740512 0.22342689
1027.281974048674 0.22558548
1027.381974046148 0.22774644
1027.481974043621 0.22990127
1027.581974041095 0.23205088
1027.681974038569 0.23420113
1027.781974036043 0.23634145
