Time Volt
1019.965974233492 0.058212202
1020.065974230965 0.073965617
1020.165974228439 0.081380248
1020.265974225913 0.086795799
1020.365974223387 0.091176845
1020.465974220861 0.09492074
1020.565974218334 0.098230198
1020.665974215808 0.1012134
1020.765974213282 0.10394268
1020.865974210756 0.10649091
1020.965974208229 0.10886406
1021.065974205703 0.11111789
1021.165974203177 0.11325487
1021.265974200651 0.11529942
1021.365974198125 0.11725642
1021.465974195598 0.1191425
1021.565974193072 0.12096427
1021.665974190546 0.12271497
1021.76597418802 0.1244203
1021.865974185494 0.12608252
1021.965974182967 0.12769119
1022.065974180441 0.12926672
1022.165974177915 0.13080421
1022.265974175389 0.13230634
1022.365974172862 0.13377257
1022.465974170336 0.13521597
1022.56597416781 0.1366369
1022.665974165284 0.13802618
1022.765974162758 0.1393919
1022.865974160231 0.14073922
1022.965974157705 0.14206088
1023.065974155179 0.14335938
1023.165974152653 0.1446415
1023.265974150127 0.1459002
1023.3659741476 0.14714195
1023.465974145074 0.14837423
1023.565974142548 0.14959483
1023.665974140022 0.15079801
1023.765974137496 0.15198793
1023.865974134969 0.15316643
1023.965974132443 0.15433526
1024.065974129917 0.15548982
1024.165974127391 0.15663317
1024.265974124864 0.15776668
1024.365974122338 0.15888971
1024.465974119812 0.1600119
1024.565974117286 0.16111563
1024.66597411476 0.16220862
1024.765974112233 0.16329534
1024.865974109707 0.16438371
1024.965974107181 0.16545488
1025.065974104655 0.16651863
1025.165974102129 0.16757941
1025.265974099602 0.16863108
1025.365974097076 0.16968803
1025.46597409455 0.17072614
1025.565974092024 0.1717528
1025.665974089497 0.17278604
1025.765974086971 0.17380767
1025.865974084445 0.17482914
1025.965974081919 0.17584431
1026.065974079393 0.17685303
1026.165974076866 0.17785779
1026.26597407434 0.17885983
1026.365974071814 0.17985423
1026.465974069288 0.1808399
1026.565974066762 0.18182099
1026.665974064235 0.18280545
1026.765974061709 0.18378274
1026.865974059183 0.1847568
1026.965974056657 0.18573058
1027.06597405413 0.1866972
1027.165974051604 0.18766066
1027.265974049078 0.18862337
1027.365974046552 0.18957996
1027.465974044026 0.19053367
1027.565974041499 0.19147642
1027.665974038973 0.19242632
1027.765974036447 0.19338137
1027.865974033921 0.19432284
1027.965974031395 0.19526279
1028.065974028868 0.19619879
1028.165974026342 0.19713674
1028.265974023816 0.19807151
1028.36597402129 0.19900097
1028.465974018764 0.19992842
1028.565974016237 0.20085396
1028.665974013711 0.20177785
1028.765974011185 0.2027002
1028.865974008659 0.2036203
1028.965974006132 0.20454061
1029.065974003606 0.20545368
1029.16597400108 0.20635915
1029.265973998554 0.20727414
1029.365973996028 0.20818852
1029.465973993501 0.20909646
1029.565973990975 0.2099971
1029.665973988449 0.21089263
1029.765973985923 0.21179678
1029.865973983397 0.21270767
1029.96597398087 0.2135998
1030.065973978344 0.21450239
1030.165973975818 0.21539743
1030.265973973292 0.21629158
1030.365973970765 0.21718632
1030.465973968239 0.21807709
1030.565973965713 0.21896449
1030.665973963187 0.21985346
1030.765973960661 0.22073276
1030.865973958134 0.22162786
1030.965973955608 0.22250943
1031.065973953082 0.22338669
1031.165973950556 0.22426538
1031.26597394803 0.22513871
1031.365973945503 0.22601809
1031.465973942977 0.2268946
1031.565973940451 0.22777221
1031.665973937925 0.22864856
1031.765973935399 0.22951631
1031.865973932872 0.23038647
1031.965973930346 0.23125851
1032.06597392782 0.23213288
1032.165973925294 0.23299681
1032.265973922767 0.23387145
1032.365973920241 0.23473333
1032.465973917715 0.2356008
1032.565973915189 0.23646137
1032.665973912663 0.23732194
1032.765973910136 0.23818627
1032.86597390761 0.23904712
1032.965973905084 0.23990589
1033.065973902558 0.24076703
1033.165973900032 0.24162559
1033.265973897505 0.24247733
1033.365973894979 0.24334313
